Sp,Scenario,Ndfa,PartNbalance
Field pea,Scenario A,79,15
Field pea,Scenario A,83,30
Field pea,Scenario A,76,3
Field pea,Scenario A,76,6
Field pea,Scenario A,82,24
Field pea,Scenario A,81,19
Field pea,Scenario A,77,11
Field pea,Scenario A,75,21
Field pea,Scenario A,60,14
Field pea,Scenario A,66,53
Field pea,Scenario A,22,-66
Field pea,Scenario A,20,-86
Field pea,Scenario A,63,-20
Field pea,Scenario A,69,-9
Field pea,Scenario A,70,-7
Field pea,Scenario A,74,1
Field pea,Scenario A,72,-7
Field pea,Scenario A,70,-9
Field pea,Scenario A,52,-14
Field pea,Scenario A,90,10
Field pea,Scenario A,6,-52
Field pea,Scenario A,26,-61
Field pea,Scenario A,66,-6
Field pea,Scenario A,69,-7
Field pea,Scenario A,70,141
Field pea,Scenario A,43,-64
Field pea,Scenario A,78,13
Field pea,Scenario A,60,-25
Field pea,Scenario A,84,11
Field pea,Scenario A,40,-34
Field pea,Scenario A,52,-15
Field pea,Scenario A,45,-28
Field pea,Scenario A,61,26
Field pea,Scenario A,46,-22
Field pea,Scenario A,50,-28
Field pea,Scenario A,80,70
Field pea,Scenario A,72,46
Field pea,Scenario A,49,-1
Field pea,Scenario A,80,82
Field pea,Scenario A,74,-14
Field pea,Scenario A,68,-9
Field pea,Scenario A,87,30
Field pea,Scenario A,87,27
Field pea,Scenario A,89,26
Field pea,Scenario A,55,26
Field pea,Scenario A,32,-23
Field pea,Scenario A,27,-18
Field pea,Scenario A,78,98
Field pea,Scenario A,61,8
Field pea,Scenario A,49,1
Field pea,Scenario A,58,-21
Field pea,Scenario A,28,-38
Field pea,Scenario A,42,-26
Field pea,Scenario A,64,-1
Field pea,Scenario A,58,-7
Field pea,Scenario A,65,0
Field pea,Scenario A,44,-59
Field pea,Scenario A,79,-4
Field pea,Scenario A,61,-29
Field pea,Scenario A,90,12
Field pea,Scenario A,79,3
Field pea,Scenario A,80,119
Field pea,Scenario A,83,101
Field pea,Scenario A,91,85
Field pea,Scenario A,83,61
Field pea,Scenario A,75,77
Field pea,Scenario A,56,17
Field pea,Scenario A,44,8
Field pea,Scenario A,36,-9
Field pea,Scenario A,40,5
Field pea,Scenario A,22,-16
Field pea,Scenario A,37,-7
Field pea,Scenario A,44,3
Field pea,Scenario A,58,193
Field pea,Scenario A,84,97
Field pea,Scenario A,72,95
Field pea,Scenario A,79,27
Field pea,Scenario A,35,-60
Field pea,Scenario A,55,-59
Field pea,Scenario A,29,-88
Field pea,Scenario A,66,-34
Field pea,Scenario A,41,-78
Field pea,Scenario A,69,-7
Field pea,Scenario A,70,-16
Field pea,Scenario A,87,6
Field pea,Scenario A,55,-57
Field pea,Scenario A,73,-8
Field pea,Scenario A,64,-20
Field pea,Scenario A,67,-16
Field pea,Scenario A,44,-18
Field pea,Scenario A,50,-18
Field pea,Scenario A,59,3
Field pea,Scenario A,43,-21
Field pea,Scenario A,56,-13
Field pea,Scenario A,62,-8
Field pea,Scenario A,56,-15
Field pea,Scenario A,70,-2
Field pea,Scenario A,49,-20
Field pea,Scenario A,12,-38
Field pea,Scenario A,25,-36
Field pea,Scenario A,21,-37
Field pea,Scenario A,9,-23
Field pea,Scenario A,44,-15
Field pea,Scenario A,60,-35
White lupin,Scenario B,61,-8
White lupin,Scenario B,72,-27
White lupin,Scenario B,67,-63
White lupin,Scenario B,67,-67
White lupin,Scenario B,62,-73
White lupin,Scenario B,76,-24
White lupin,Scenario B,76,-31
White lupin,Scenario B,78,-26
White lupin,Scenario B,77,-32
White lupin,Scenario B,78,-35
White lupin,Scenario B,77,-35
White lupin,Scenario B,46,-98
